OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GSAT0101 (GALILEO-PFM),2011-060A,2024-11-27T19:03:08.294400,1.70475953,.0002333,57.1204,357.1084,307.8284,52.2069,0,U,37846,999,8146,0,-.74E-6,0
GSAT0102 (GALILEO-FM2),2011-060B,2024-11-27T03:13:56.829792,1.70475467,.0004249,57.1212,357.1265,301.8516,59.0293,0,U,37847,999,8146,0,-.77E-6,0
GSAT0103 (GALILEO-FM3),2012-055A,2024-11-27T19:59:50.436096,1.70473558,.0002368,55.4850,117.1067,249.6014,110.3483,0,U,38857,999,7535,0,.53E-6,0
GSAT0201 (GALILEO 5),2014-050A,2024-11-27T09:38:26.820384,1.85519707,.1615478,49.4904,296.4907,157.5946,210.3640,0,U,40128,999,6780,0,-.9E-6,0
GSAT0202 (GALILEO 6),2014-050B,2024-11-28T04:45:39.161088,1.85520410,.1614869,49.5056,295.5379,158.4143,209.2719,0,U,40129,999,6998,0,-.86E-6,0
GSAT0203 (GALILEO 7),2015-017A,2024-11-28T03:49:19.629408,1.70476230,.0006078,56.9151,357.0103,262.1482,97.8389,0,U,40544,999,5955,0,-.73E-6,0
GSAT0204 (GALILEO 8),2015-017B,2024-11-29T00:00:42.274656,1.70475824,.0005849,56.9213,357.0035,252.2200,107.7726,0,U,40545,999,6023,0,-.7E-6,0
GSAT0205 (GALILEO 9),2015-045A,2024-11-28T04:22:39.044640,1.70473082,.0005709,55.1462,237.2414,32.8858,327.2046,0,U,40889,999,5736,0,.4E-7,0
GSAT0206 (GALILEO 10),2015-045B,2024-11-27T05:30:55.737792,1.70473151,.0003153,55.1449,237.2628,14.4769,345.5812,0,U,40890,999,5737,0,-.4E-7,0
GSAT0209 (GALILEO 12),2015-079A,2024-11-26T05:25:16.404384,1.70474574,.0001884,55.5037,116.8614,348.1974,11.7796,0,U,41174,999,5509,0,.54E-6,0
GSAT0208 (GALILEO 11),2015-079B,2024-11-27T14:51:14.068512,1.70474372,.0001395,55.5029,116.8208,3.5042,356.4726,0,U,41175,999,5553,0,.53E-6,0
GSAT0211 (GALILEO 14),2016-030A,2024-11-25T09:29:57.141600,1.70473034,.0003802,55.2955,237.3420,359.6101,0.4317,0,U,41549,999,5297,0,-.18E-6,0
GSAT0210 (GALILEO 13),2016-030B,2024-11-28T14:04:52.390272,1.70473597,.0001477,55.2930,237.2527,248.2559,111.7860,0,U,41550,999,5302,0,.7E-7,0
GSAT0207 (GALILEO 15),2016-069A,2024-11-27T16:37:17.471712,1.70474473,.0001767,55.1702,116.7828,311.8311,48.1294,0,U,41859,999,4974,0,.52E-6,0
GSAT0212 (GALILEO 16),2016-069B,2024-11-27T13:07:13.391328,1.70474552,.0001711,55.1689,116.7828,34.1442,325.8430,0,U,41860,999,4999,0,.52E-6,0
GSAT0213 (GALILEO 17),2016-069C,2024-11-27T21:57:32.820480,1.70474884,.0002026,55.1697,116.7797,265.4162,94.5352,0,U,41861,999,4986,0,.52E-6,0
GSAT0214 (GALILEO 18),2016-069D,2024-11-23T08:49:34.280832,1.70474731,.0001002,55.1663,116.8988,261.4215,98.5510,0,U,41862,999,4991,0,.51E-6,0
GSAT0215 (GALILEO 19),2017-079A,2024-11-27T23:07:41.128608,1.70473830,.0001527,55.2710,237.0910,318.3517,41.6904,0,U,43055,999,4333,0,.2E-7,0
GSAT0216 (GALILEO 20),2017-079B,2024-11-28T06:07:33.644928,1.70473966,.0002884,55.2714,237.0830,307.7304,52.2992,0,U,43056,999,4332,0,.5E-7,0
GSAT0217 (GALILEO 21),2017-079C,2024-11-26T17:11:02.573664,1.70473986,.0003195,55.2703,237.1237,320.6964,39.3273,0,U,43057,999,4331,0,-.8E-7,0
GSAT0218 (GALILEO 22),2017-079D,2024-11-27T12:32:37.271904,1.70473953,.0003354,55.2700,237.0992,296.9999,63.0169,0,U,43058,999,4332,0,-.1E-7,0
GSAT0221 (GALILEO 25),2018-060A,2024-11-28T14:19:32.481408,1.70476053,.0006196,57.2955,357.0402,274.8113,85.1747,0,U,43564,999,3952,0,-.71E-6,0
GSAT0222 (GALILEO 26),2018-060B,2024-11-22T22:47:41.730720,1.70475794,.0005723,57.2994,357.1948,251.8543,108.1328,0,U,43565,999,3947,0,-.91E-6,0
GSAT0219 (GALILEO 23),2018-060C,2024-11-27T20:44:20.539104,1.70476094,.0005252,57.2982,357.0639,278.3159,81.6811,0,U,43566,999,3953,0,-.73E-6,0
GSAT0220 (GALILEO 24),2018-060D,2024-11-25T17:43:28.563456,1.70476183,.0005436,57.2979,357.1214,274.7072,85.2844,0,U,43567,999,3948,0,-.82E-6,0
GSAT0223 (GALILEO 27),2021-116A,2024-11-27T22:25:50.722176,1.70476214,.0004431,57.2881,356.9556,251.4617,106.8500,0,U,49809,999,1852,0,-.73E-6,0
GSAT0224 (GALILEO 28),2021-116B,2024-11-26T00:01:10.432416,1.70476300,.0005806,57.2891,357.0061,253.9738,110.0286,0,U,49810,999,1852,0,-.81E-6,0
GSAT0225 (GALILEO 29),2024-079A,2024-11-28T01:21:44.828640,1.70474940,.0002765,54.7870,116.9222,166.8536,9.9963,0,U,59598,999,366,0,.51E-6,0
GSAT0227 (GALILEO 30),2024-079C,2024-11-27T22:50:44.776032,1.70474806,.000363,54.7820,116.9254,119.1248,240.8862,0,U,59600,999,371,0,.51E-6,0
GSAT0232 (GALILEO 32),2024-167A,2024-11-16T05:12:17.084160,1.73178105,.0015743,55.3884,237.1378,276.0571,83.7985,0,U,61182,999,102,0,-.4E-7,0
GSAT0226 (GALILEO 31),2024-167B,2024-11-16T04:56:02.052384,1.71381460,.0033834,55.3850,237.1721,97.1093,263.3097,0,U,61183,999,100,0,-.4E-7,0
